a. Contributor unique ID,b. Preferred name,FIRST NAME,LAST NAME,c. Variant name,ccc. Source of Name,c1. Variant name 2,cc1. Language of name,ccc1. Source of name 2,d. Nationality,e. Birth date,e. Birth date,f. Death date,f. Death date,g. Role,g1. Role,h. Display Biography,i. Sex,j. Source,j1. Source,jj1. Source,j3. Source 2,jj2. Source 2 “page”,k. Contributor,o. Culture,p. Related Person Name (SPOUSE),p1. Related Person Name (MOTHER),p2. Related Person Name (FATHER)
,"LASTNAME,FIRSTNAME",,,FULL NAME,,,,,,,YEAR,,YEAR,,,"FORMAT (Nationality, role, birth date-hyphen-death date)",GENDER,,,,,Wikidata QID (format http://www.wikidata.org/entity/Q113388358),,,,,
OAINDOD1,"Achary,N Uma Sankar ",N Uma Sankar ,Achary,N Uma Sankar Achary,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ଆଚାର୍ଯ୍ୟ,ଏନ୍ ଉମା ଶଙ୍କର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388115,O Foundation,Odia people,,,
OAINDOD2,"Achary,P. Shyamsundar Rao Shyamsundar Rao",P. Shyamsundar Rao Shyamsundar Rao,Achary,P. Shyamsundar Rao Achary,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ଆଚାର୍ଯ୍ୟ,ପି ଶ୍ୟାମସୁନ୍ଦର ରାଓ ଶ୍ୟାମସୁନ୍ଦର ରାଓ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388155,O Foundation,Odia people,,,
OAINDOD3,"Acharya,Bibekananda ",Bibekananda ,Acharya,Bibekananda Acharya,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ଆଚାର୍ଯ୍ୟ,ବିବେକାନନ୍ଦ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387808,O Foundation,Odia people,,,
OAINDOD4,"Acharya,Sarita Kumari",Sarita Kumari,Acharya,Sarita Kumari Acharya,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ଆଚାର୍ଯ୍ୟ,ସରିତା କୁମାରୀ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,female,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388381,O Foundation,Odia people,,,
OAINDOD5,"Anwar,Mohammad ",Mohammad ,Anwar,Mohammad Anwar,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ଅନୱର,ମହମ୍ମଦ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388094,O Foundation,Odia people,,,
OAINDOD6,"Arif,Mohammad Ehtesham",Mohammad Ehtesham,Arif,Mohammad Ehtesham Arif,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ଆରିଫ,ମହମ୍ମଦ ଏତେଶାମ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388097,O Foundation,Odia Muslim,,,
OAINDOD7,"Arukha,Asit Kumar",Asit Kumar,Arukha,Asit Kumar Arukha,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ଆରୁଖ,ଅସିତ କୁମାର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387783,O Foundation,Odia people,,,
OAINDOD8,"Badatiya,Pratap ",Pratap ,Badatiya,Pratap Badatiya,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବଡ଼ତିଆ,ପ୍ରତାପ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388210,O Foundation,Odia people,,,
OAINDOD9,"Bal,Hiranya Kishore",Hiranya Kishore,Bal,Hiranya Kishore Bal,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବଳ,ହିରଣ୍ୟ କିଶୋର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387963,O Foundation,Odia people,,,
OAINDOD10,"Bal,Stalin ",Stalin ,Bal,Stalin Bal,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବଳ,ଷ୍ଟାଲିନ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388459,O Foundation,Odia people,,,
